fname,label,aso_id,manually_verified,noisy_small
94322.wav,Walk_or_footsteps,/m/07pbtc8,1,0
85602.wav,Walk_or_footsteps,/m/07pbtc8,1,0
240356.wav,Walk_or_footsteps,/m/07pbtc8,1,0
371015.wav,Walk_or_footsteps,/m/07pbtc8,1,0
264589.wav,Walk_or_footsteps,/m/07pbtc8,1,0
195017.wav,Walk_or_footsteps,/m/07pbtc8,1,0
167157.wav,Walk_or_footsteps,/m/07pbtc8,1,0
389300.wav,Walk_or_footsteps,/m/07pbtc8,1,0
275252.wav,Walk_or_footsteps,/m/07pbtc8,1,0
363874.wav,Walk_or_footsteps,/m/07pbtc8,1,0
268884.wav,Walk_or_footsteps,/m/07pbtc8,1,0
272492.wav,Walk_or_footsteps,/m/07pbtc8,1,0
232824.wav,Walk_or_footsteps,/m/07pbtc8,1,0
245037.wav,Walk_or_footsteps,/m/07pbtc8,1,0
233382.wav,Walk_or_footsteps,/m/07pbtc8,1,0
38873.wav,Walk_or_footsteps,/m/07pbtc8,1,0
148796.wav,Walk_or_footsteps,/m/07pbtc8,1,0
391920.wav,Walk_or_footsteps,/m/07pbtc8,1,0
154663.wav,Walk_or_footsteps,/m/07pbtc8,1,0
156206.wav,Walk_or_footsteps,/m/07pbtc8,1,0
348752.wav,Walk_or_footsteps,/m/07pbtc8,1,0
412785.wav,Walk_or_footsteps,/m/07pbtc8,1,0
85655.wav,Walk_or_footsteps,/m/07pbtc8,1,0
78991.wav,Walk_or_footsteps,/m/07pbtc8,1,0
148853.wav,Walk_or_footsteps,/m/07pbtc8,1,0
142008.wav,Walk_or_footsteps,/m/07pbtc8,1,0
379175.wav,Walk_or_footsteps,/m/07pbtc8,1,0
420552.wav,Walk_or_footsteps,/m/07pbtc8,1,0
349101.wav,Walk_or_footsteps,/m/07pbtc8,1,0
388504.wav,Walk_or_footsteps,/m/07pbtc8,1,0
388509.wav,Walk_or_footsteps,/m/07pbtc8,1,0
406688.wav,Walk_or_footsteps,/m/07pbtc8,1,0
406678.wav,Walk_or_footsteps,/m/07pbtc8,1,0
403164.wav,Walk_or_footsteps,/m/07pbtc8,1,0
403167.wav,Walk_or_footsteps,/m/07pbtc8,1,0
172357.wav,Walk_or_footsteps,/m/07pbtc8,1,0
172361.wav,Walk_or_footsteps,/m/07pbtc8,1,0
427683.wav,Walk_or_footsteps,/m/07pbtc8,1,0
427684.wav,Walk_or_footsteps,/m/07pbtc8,1,0
422743.wav,Walk_or_footsteps,/m/07pbtc8,1,0
422762.wav,Walk_or_footsteps,/m/07pbtc8,1,0
421147.wav,Walk_or_footsteps,/m/07pbtc8,1,0
421134.wav,Walk_or_footsteps,/m/07pbtc8,1,0
166509.wav,Walk_or_footsteps,/m/07pbtc8,1,0
166510.wav,Walk_or_footsteps,/m/07pbtc8,1,0
272381.wav,Walk_or_footsteps,/m/07pbtc8,1,0
272380.wav,Walk_or_footsteps,/m/07pbtc8,1,0
273402.wav,Walk_or_footsteps,/m/07pbtc8,1,0
271925.wav,Walk_or_footsteps,/m/07pbtc8,1,0
269847.wav,Walk_or_footsteps,/m/07pbtc8,1,0
269864.wav,Walk_or_footsteps,/m/07pbtc8,1,0
152781.wav,Walk_or_footsteps,/m/07pbtc8,1,0
152792.wav,Walk_or_footsteps,/m/07pbtc8,1,0
152795.wav,Walk_or_footsteps,/m/07pbtc8,1,0
138052.wav,Walk_or_footsteps,/m/07pbtc8,1,0
138060.wav,Walk_or_footsteps,/m/07pbtc8,1,0
138071.wav,Walk_or_footsteps,/m/07pbtc8,1,0
321841.wav,Walk_or_footsteps,/m/07pbtc8,1,0
321848.wav,Walk_or_footsteps,/m/07pbtc8,1,0
321847.wav,Walk_or_footsteps,/m/07pbtc8,1,0
166287.wav,Walk_or_footsteps,/m/07pbtc8,1,0
166295.wav,Walk_or_footsteps,/m/07pbtc8,1,0
166297.wav,Walk_or_footsteps,/m/07pbtc8,1,0
151208.wav,Walk_or_footsteps,/m/07pbtc8,1,0
151209.wav,Walk_or_footsteps,/m/07pbtc8,1,0
151222.wav,Walk_or_footsteps,/m/07pbtc8,1,0
217901.wav,Walk_or_footsteps,/m/07pbtc8,1,0
217963.wav,Walk_or_footsteps,/m/07pbtc8,1,0
217984.wav,Walk_or_footsteps,/m/07pbtc8,1,0
340209.wav,Walk_or_footsteps,/m/07pbtc8,1,0
340214.wav,Walk_or_footsteps,/m/07pbtc8,1,0
